Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Pampeana,Aceite de girasol,"1,5 litros",2017-07-01,53.57,5
Noreste,Lavandina,1.000 cc,2017-07-01,15.96,57
Pampeana,Fideos secos tipo guisero,500 g,2017-07-01,17.22,35
Pampeana,Arroz blanco simple,kg,2017-07-01,21.22,11
Pampeana,Harina de trigo común,kg,2017-07-01,11.17,41
Pampeana,Pan francés,kg,2017-07-01,31.93,71
GBA,Jabón de tocador,125 g,2017-07-01,14.12,50
GBA,Lavandina,1.000 cc,2017-07-01,15.62,56
GBA,Detergente líquido,750 cc,2017-07-01,19.84,26
GBA,Azúcar,kg,2017-07-01,19.37,14
Pampeana,Carne picada común,kg,2017-07-01,77.33,23
GBA,Papa,kg,2017-07-01,14.48,74
GBA,Leche fresca entera sachet,Litro,2017-07-01,21.53,62
GBA,Aceite de girasol,"1,5 litros",2017-07-01,51.35,2
GBA,Pollo entero,kg,2017-07-01,35.51,80
GBA,Carne picada común,kg,2017-07-01,72.71,20
GBA,Fideos secos tipo guisero,500 g,2017-07-01,19.53,32
GBA,Arroz blanco simple,kg,2017-07-01,21.08,8
GBA,Harina de trigo común,kg,2017-07-01,10.61,38
Noreste,Jabón de tocador,125 g,2017-07-01,14.21,51
GBA,Huevos de gallina,Docena,2017-07-01,33.54,44
Pampeana,Pollo entero,kg,2017-07-01,37.44,83
GBA,Pan francés,kg,2017-07-01,39.12,68
Pampeana,Leche fresca entera sachet,Litro,2017-07-01,23.42,65
Noreste,Azúcar,kg,2017-07-01,17.99,15
Noreste,Papa,kg,2017-07-01,12.56,75
Noreste,Huevos de gallina,Docena,2017-07-01,29.27,45
Noreste,Leche fresca entera sachet,Litro,2017-07-01,23.27,63
Noreste,Aceite de girasol,"1,5 litros",2017-07-01,51.05,3
Noreste,Pollo entero,kg,2017-07-01,36.99,81
Noreste,Carne picada común,kg,2017-07-01,70.58,21
Noreste,Fideos secos tipo guisero,500 g,2017-07-01,14.34,33
Noreste,Detergente líquido,750 cc,2017-07-01,20.53,27
Noreste,Harina de trigo común,kg,2017-07-01,11.05,39
Noreste,Pan francés,kg,2017-07-01,28.99,69
Pampeana,Jabón de tocador,125 g,2017-07-01,14.45,53
Pampeana,Lavandina,1.000 cc,2017-07-01,14.59,59
Pampeana,Detergente líquido,750 cc,2017-07-01,22.2,29
Pampeana,Azúcar,kg,2017-07-01,18.94,17
Pampeana,Papa,kg,2017-07-01,13.93,77
Pampeana,Huevos de gallina,Docena,2017-07-01,33.05,47
Noreste,Arroz blanco simple,kg,2017-07-01,20.32,9
Noroeste,Jabón de tocador,125 g,2017-08-01,15.05,52
Cuyo,Pan francés,kg,2017-08-01,28.82,67
Cuyo,Carne picada común,kg,2017-08-01,73.72,19
Cuyo,Arroz blanco simple,kg,2017-08-01,19.27,7
Cuyo,Fideos secos tipo guisero,500 g,2017-08-01,18.54,31
Noroeste,Lavandina,1.000 cc,2017-08-01,15.18,58
Cuyo,Harina de trigo común,kg,2017-08-01,10.46,37
Noroeste,Detergente líquido,750 cc,2017-08-01,23.92,28
Noroeste,Aceite de girasol,"1,5 litros",2017-08-01,52.96,4
